模仿游戏,2014,8.8,680789
头号玩家,2018,8.6,1428825
花样年华,2000,8.8,651764
射雕英雄传之东成西就,1993,8.7,672545
七武士,1954,9.3,211231
我是山姆,2001,9.0,354859
血战钢锯岭,2016,8.7,814307
惊魂记,1960,9.0,320874
阳光姐妹淘,2011,8.8,609524
恐怖直播,2013,8.7,686518
你的名字。,2016,8.5,1489267
黑客帝国3：矩阵革命,2003,8.8,468056
三块广告牌,2017,8.7,863413
电锯惊魂,2004,8.7,567378
心迷宫,2014,8.8,563303
达拉斯买家俱乐部,2013,8.8,475970
疯狂原始人,2013,8.7,874991
谍影重重3,2007,8.8,439689
小丑,2019,8.7,1060007
背靠背，脸对脸,1994,9.5,152240
心灵奇旅,2020,8.7,1047651
上帝之城,2002,9.0,314219
英雄本色,1986,8.6,569252
风之谷,1984,8.9,372324
绿里奇迹,1999,8.9,355676
爱在午夜降临前,2013,8.9,431534
海街日记,2015,8.8,478439
纵横四海,1991,8.8,447860
卢旺达饭店,2004,8.9,346682
疯狂的石头,2006,8.6,867863
2001太空漫游,1968,8.9,357850
无间道2,2003,8.8,517022
雨中曲,1952,9.1,243631
记忆碎片,2000,8.7,632326
小偷家族,2018,8.7,850522
无敌破坏王,2012,8.7,572137
岁月神偷,2010,8.7,591389
忠犬八公物语,1987,9.2,205691
荒蛮故事,2014,8.8,466449
冰川时代,2002,8.6,646727
牯岭街少年杀人事件,1991,8.9,329094
恐怖游轮,2009,8.5,918915
爆裂鼓手,2014,8.7,622172
东京教父,2003,9.0,255356
魔女宅急便,1989,8.7,488848
大佛普拉斯,2017,8.7,503781
贫民窟的百万富翁,2008,8.6,773026
遗愿清单,2007,8.7,493927
东邪西毒,1994,8.6,601083
末路狂花,1991,8.9,291582
你看起来好像很好吃,2010,8.9,350392
可可西里,2004,8.9,320566
源代码,2011,8.5,873344
城市之光,1931,9.3,157551
疯狂的麦克斯4：狂暴之路,2015,8.7,574892
黑天鹅,2010,8.6,808839
海边的曼彻斯特,2016,8.6,590703
波西米亚狂想曲,2018,8.6,643875
真爱至上,2003,8.5,766090
雨人,1988,8.7,421261
青蛇,1993,8.6,553720
爱乐之城,2016,8.4,1004085
芙蓉镇,1987,9.3,159303
初恋这件小事,2010,8.5,1010115
终结者2：审判日,1991,8.8,358864
人工智能,2001,8.7,469696
虎口脱险,1966,8.9,273293
恋恋笔记本,2004,8.5,706825
高山下的花环,1984(中国大陆) / 1985,9.5,114970
新龙门客栈,1992,8.7,469611
无耻混蛋,2009,8.7,509394
花束般的恋爱,2021,8.6,705258
罗生门,1950,8.8,333263
崖上的波妞,2008,8.6,531925
千钧一发,1997,8.8,320843
哈利·波特与死亡圣器(上),2010,8.6,620471
彗星来的那一夜,2013,8.6,624547
白日梦想家,2013,8.6,552917
萤火虫之墓,1988,8.7,419391
黑客帝国2：重装上阵,2003,8.7,426514
奇迹男孩,2017,8.6,572849
火星救援,2015,8.5,774960
二十二,2015,8.7,301810
战争之王,2005,8.7,388933
血钻,2006,8.7,398732
哈利·波特与凤凰社,2007,8.5,616080
步履不停,2008,8.8,296735
大红灯笼高高挂,1991,8.8,314389
千年女优,2001,8.8,290471
房间,2015,8.8,382226
魂断蓝桥,1940,8.8,292671
谍影重重2,2004,8.7,371742
蜘蛛侠：平行宇宙,2018,8.6,707568
弱点,2009,8.7,331299
谍影重重,2002,8.6,451986
阿飞正传,1990,8.5,537540
朗读者,2008,8.6,469184
隐藏人物,2016,8.9,237202
再次出发之纽约遇见你,2013,8.6,446326
